Month;Price
01/11/1994;165.88
01/12/1994;171.67
01/01/1995;188.2
01/02/1995;198.63
01/03/1995;205.63
01/04/1995;204.5
01/05/1995;197.8
01/06/1995;185.63
01/07/1995;180.8
01/08/1995;185.25
01/09/1995;192
01/10/1995;204.8
01/11/1995;224.88
01/12/1995;229.17
01/01/1996;226.3
01/02/1996;225.88
01/03/1996;221
01/04/1996;210.75
01/05/1996;186.13
01/06/1996;182.13
01/07/1996;188
01/08/1996;189.88
01/09/1996;186.7
01/10/1996;183.75
01/11/1996;188.25
01/12/1996;188.5
01/01/1997;188
01/02/1997;187.38
01/03/1997;187.4
01/04/1997;188.5
01/05/1997;188.5
01/06/1997;187
01/07/1997;186.88
01/08/1997;186.63
01/09/1997;186.6
01/10/1997;186
01/11/1997;185.5
01/12/1997;185.5
01/01/1998;184
01/02/1998;183.5
01/03/1998;183.5
01/04/1998;185
01/05/1998;186.5
01/06/1998;189.2
01/07/1998;190.5
01/08/1998;190.5
01/09/1998;190.5
01/10/1998;189.63
01/11/1998;186.7
01/12/1998;182.83
01/01/1999;181.75
01/02/1999;181.63
01/03/1999;181.75
01/04/1999;180.5
01/05/1999;180.5
01/06/1999;180.5
01/07/1999;177
01/08/1999;172.4
01/09/1999;164.38
01/10/1999;157
01/11/1999;148.3
01/12/1999;147.5
01/01/2000;147.2
01/02/2000;144.5
01/03/2000;143
01/04/2000;143
01/05/2000;143
01/06/2000;142
01/07/2000;140.3
01/08/2000;148.63
01/09/2000;157.5
01/10/2000;155.9
01/11/2000;153.5
01/12/2000;153.5
01/01/2001;154.5
01/02/2001;159
01/03/2001;159.13
01/04/2001;151.3
01/05/2001;142
01/06/2001;133.13
01/07/2001;135
01/08/2001;135
01/09/2001;135
01/10/2001;135.9
01/11/2001;140.5
01/12/2001;141.67
01/01/2002;146
01/02/2002;150.25
01/03/2002;149.75
01/04/2002;147.8
01/05/2002;143.88
01/06/2002;149.5
01/07/2002;160.5
01/08/2002;162.5
01/09/2002;160.9
01/10/2002;156.25
01/11/2002;151.5
01/12/2002;147.5
01/01/2003;149.75
01/02/2003;155.25
01/03/2003;177.2
01/04/2003;181.5
01/05/2003;178.44
01/06/2003;171.3
01/07/2003;176.38
01/08/2003;175.63
01/09/2003;171.3
01/10/2003;166.38
01/11/2003;169.38
01/12/2003;187.5
01/01/2004;204.25
01/02/2004;211.5
01/03/2004;205.3
01/04/2004;199.38
01/05/2004;191.1
01/06/2004;190.63
01/07/2004;201.5
01/08/2004;208.1
01/09/2004;208.5
01/10/2004;211.75
01/11/2004;213.8
01/12/2004;211.13
01/01/2005;208.6
01/02/2005;207.13
01/03/2005;210.63
01/04/2005;214.75
01/05/2005;217.2
01/06/2005;224.25
01/07/2005;228.25
01/08/2005;231.5
01/09/2005;240.75
01/10/2005;246.38
01/11/2005;246.13
01/12/2005;245.88
01/01/2006;244.3
01/02/2006;238.13
01/03/2006;233.63
01/04/2006;231.75
01/05/2006;232.9
01/06/2006;232.38
01/07/2006;230.3
01/08/2006;228.25
01/09/2006;225.13
01/10/2006;218.5
01/11/2006;219.38
01/12/2006;223.83
01/01/2007;249.2
01/02/2007;317.63
01/03/2007;387
01/04/2007;404.6
01/05/2007;392
01/06/2007;387.88
01/07/2007;398.5
01/08/2007;401.63
01/09/2007;399.63
01/10/2007;406
01/11/2007;447
01/12/2007;512.5
01/01/2008;593.88
01/02/2008;692.5
01/03/2008;862.2
01/04/2008;953.5
01/05/2008;997.5
01/06/2008;1,004.10
01/07/2008;1,075.75
01/08/2008;1,065.00
01/09/2008;980
01/10/2008;910
01/11/2008;710
01/12/2008;495
01/01/2009;308.88
01/02/2009;313.75
01/03/2009;317.8
01/04/2009;300.63
01/05/2009;267.88
01/06/2009;256.1
01/07/2009;263.25
01/08/2009;276.4
01/09/2009;280.63
01/10/2009;271.63
01/11/2009;273.2
01/12/2009;331.5
01/01/2010;383
01/02/2010;413.63
01/03/2010;424.5
01/04/2010;417.5
01/05/2010;410
01/06/2010;392.5
01/07/2010;418.13
01/08/2010;459.9
01/09/2010;506
01/10/2010;557.25
01/11/2010;554.1
01/12/2010;540.63
01/01/2011;547.4
01/02/2011;413.63
01/03/2011;424.5
01/04/2011;417.5
01/05/2011;410
01/06/2011;575.88
01/07/2011;597.63
01/08/2011;597.4
01/09/2011;587.88
01/10/2011;571.4
01/11/2011;563.5
01/12/2011;488.75
01/01/2012;451.4
01/02/2012;435.5
01/03/2012;442.88
01/04/2012;478
01/05/2012;490.5
01/06/2012;501.63
01/07/2012;436.88
01/08/2012;504.5
01/09/2012;527.38
01/10/2012;533.5
01/11/2012;487.88
01/12/2012;472.83
01/01/2013;462.25
01/02/2013;464.5
01/03/2013;467.63
01/04/2013;461.13
01/05/2013;421.25
01/06/2013;424.13
01/07/2013;409.63
01/08/2013;400.38
01/09/2013;374.8
01/10/2013;370
01/11/2013;334.38
01/12/2013;341.63
01/01/2014;403.38
01/02/2014;450.13
01/03/2014;486.5
01/04/2014;409
01/05/2014;413.56
01/06/2014;421.38
01/07/2014;440.63
01/08/2014;446.5
01/09/2014;438.1
01/10/2014;418.75
01/11/2014;408.75
01/12/2014;418.38
01/01/2015;440.25
01/02/2015;444.13
01/03/2015;428.8
01/04/2015;409
01/05/2015;413.56
01/06/2015;421.38
01/07/2015;431.5
01/08/2015;434.63
01/09/2015;428
01/10/2015;423.75
01/11/2015;383.88
01/12/2015;340.63
01/01/2016;327.13
01/02/2016;326
01/03/2016;338.13
01/04/2016;330.5
01/05/2016;313.5
01/06/2016;306.63
01/07/2016;305.2
01/08/2016;318.06
01/09/2016;320
01/10/2016;310
01/11/2016;298
01/12/2016;296.63
01/01/2017;308
01/02/2017;326
01/03/2017;325.63
01/04/2017;313.13
01/05/2017;309.25
01/06/2017;310.3
01/07/2017;313.75
01/08/2017;320.75
01/09/2017;325.9
01/10/2017;322.38
01/11/2017;344
01/12/2017;357.25
01/01/2018;360.38
01/02/2018;370
01/03/2018;378
01/04/2018;384.75
01/05/2018;384.38
01/06/2018;391.6
01/07/2018;400.75
01/08/2018;409
01/09/2018;421.63
01/10/2018;420.75
01/11/2018;410.2
01/12/2018;389.67
01/01/2019;382.13
01/02/2019;357.38
01/03/2019;335.03
01/04/2019;323.75
01/05/2019;313.4
01/06/2019;314.88
01/07/2019;307.5
01/08/2019;292.9
01/09/2019;285.75
01/10/2019;277.38
01/11/2019;248
01/12/2019;238.16
01/01/2020;264.9
01/02/2020;279.38
01/03/2020;276.22
01/04/2020;282
01/05/2020;263
01/06/2020;273
01/07/2020;305.1
01/08/2020;341.88
01/09/2020;358.38
01/10/2020;357.1
01/11/2020;359.63
01/12/2020;388.5
01/01/2021;421.3
01/02/2021;528.88
01/03/2021;534.13
01/04/2021;543.4
01/05/2021;574.63
01/06/2021;604.75
01/07/2021;613
01/08/2021;603.13
01/09/2021;643.75
01/10/2021;672.9
01/11/2021;726.69
01/12/2021;745
01/01/2022;699.38
01/02/2022;747.13
01/03/2022;938.13
01/04/2022;954
01/05/2022;842.5
01/06/2022;783.75
01/07/2022;784
01/08/2022;749.38
